epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4073.64,1.21374,0.75425,1.09436,0.87806,0.77799,0.89144,0.66551,0.95208,0.73835,1.02832,0.0005941,0.0005941,0.0005941
43,4133.1,1.15102,0.7232,1.07859,0.88317,0.7666,0.89967,0.66715,0.97509,0.73567,1.01439,0.0005842,0.0005842,0.0005842
44,4199.03,1.17212,0.75995,1.09731,0.89396,0.74383,0.88283,0.63228,1.08933,0.76139,1.03453,0.0005743,0.0005743,0.0005743
45,4256.27,1.24718,0.76673,1.10723,0.87232,0.70008,0.84627,0.62794,1.00726,0.80567,1.03347,0.0005644,0.0005644,0.0005644
46,4313.25,1.19259,0.74778,1.08318,0.86458,0.74004,0.86507,0.63229,0.99782,0.78826,1.02527,0.0005545,0.0005545,0.0005545
47,4369.96,1.17607,0.74237,1.08953,0.82464,0.79317,0.89337,0.63566,1.04944,0.8067,1.01389,0.0005446,0.0005446,0.0005446
48,4426.39,1.17086,0.72819,1.08569,0.90034,0.77989,0.90828,0.64301,1.11303,0.7244,1.01946,0.0005347,0.0005347,0.0005347
49,4495.45,1.18133,0.73614,1.08258,0.89383,0.77609,0.90471,0.66385,1.0014,0.70538,1.00511,0.0005248,0.0005248,0.0005248
50,4551.78,1.1356,0.71936,1.08189,0.91643,0.79077,0.90866,0.67362,0.96227,0.6789,0.99685,0.0005149,0.0005149,0.0005149
51,4608.52,1.138,0.70586,1.07095,0.91171,0.75332,0.90079,0.66863,0.92075,0.69541,1.00652,0.000505,0.000505,0.000505
52,4665.76,1.16974,0.74828,1.09227,0.91358,0.79507,0.91334,0.68951,0.92282,0.66186,1.00091,0.0004951,0.0004951,0.0004951
53,4721.74,1.07804,0.68444,1.06101,0.93599,0.80463,0.91656,0.68231,0.98573,0.64283,1.00473,0.0004852,0.0004852,0.0004852
54,4790.44,1.13823,0.72156,1.07161,0.95052,0.79886,0.91615,0.70612,0.88259,0.62385,0.98897,0.0004753,0.0004753,0.0004753
55,4848.86,1.23562,0.73957,1.09091,0.91498,0.80076,0.91534,0.66641,1.04009,0.70593,1.00668,0.0004654,0.0004654,0.0004654
56,4904.76,1.20378,0.72625,1.08189,0.90931,0.78558,0.91545,0.66054,1.0299,0.70537,1.01254,0.0004555,0.0004555,0.0004555
57,4961,1.13545,0.71179,1.06743,0.91153,0.79886,0.91671,0.71961,0.82652,0.63916,0.9852,0.0004456,0.0004456,0.0004456
58,5018.26,1.21414,0.7405,1.09379,0.92448,0.81214,0.92336,0.71873,0.83453,0.60763,0.98921,0.0004357,0.0004357,0.0004357
59,5083.94,1.17165,0.72218,1.07972,0.94401,0.79981,0.92381,0.68183,0.99401,0.64808,1.00181,0.0004258,0.0004258,0.0004258
60,5143.53,1.17292,0.70419,1.07596,0.8899,0.77419,0.90566,0.65772,1.02501,0.71043,1.0045,0.0004159,0.0004159,0.0004159
61,5199.07,1.09927,0.71525,1.072,0.89033,0.77799,0.90865,0.69907,0.85101,0.66804,0.97894,0.000406,0.000406,0.000406
62,5256.72,1.16996,0.70796,1.08098,0.92193,0.81594,0.92338,0.71275,0.83614,0.62004,0.98016,0.0003961,0.0003961,0.0003961
63,5314.35,1.12593,0.68917,1.06244,0.87137,0.75332,0.8893,0.67288,0.91235,0.70109,1.00927,0.0003862,0.0003862,0.0003862
64,5378.74,1.12799,0.70448,1.08802,0.92147,0.7793,0.91018,0.71057,0.83175,0.65162,0.98517,0.0003763,0.0003763,0.0003763
65,5439.43,1.16445,0.70023,1.07325,0.93669,0.77799,0.91123,0.71789,0.80565,0.63282,0.98053,0.0003664,0.0003664,0.0003664
66,5498.2,1.19722,0.71582,1.08314,0.94324,0.7666,0.90156,0.70773,0.83588,0.64257,0.97952,0.0003565,0.0003565,0.0003565
67,5556.67,1.17032,0.69624,1.07503,0.9431,0.78624,0.90951,0.69164,0.94671,0.64694,0.98308,0.0003466,0.0003466,0.0003466
68,5616.12,1.14849,0.69706,1.06694,0.93562,0.79974,0.92108,0.7071,0.88204,0.61493,0.97892,0.0003367,0.0003367,0.0003367
69,5681.74,1.08173,0.65246,1.04965,0.94266,0.79696,0.91429,0.72386,0.81155,0.60669,0.97776,0.0003268,0.0003268,0.0003268
70,5740.39,1.1734,0.68968,1.07944,0.95401,0.78731,0.91136,0.71634,0.83762,0.6094,0.98044,0.0003169,0.0003169,0.0003169
71,5798.62,1.13472,0.67392,1.07308,0.94093,0.79886,0.91936,0.66507,1.07824,0.67272,1.0147,0.000307,0.000307,0.000307
72,5866.4,1.13596,0.67104,1.0703,0.90917,0.79886,0.92138,0.69455,0.97507,0.67714,1.00023,0.0002971,0.0002971,0.0002971
73,5940.77,1.15081,0.68808,1.0693,0.90292,0.80266,0.9206,0.71021,0.87337,0.68056,0.9846,0.0002872,0.0002872,0.0002872
74,6024.6,1.11124,0.66372,1.06167,0.91647,0.80455,0.91988,0.70906,0.87509,0.65965,0.98048,0.0002773,0.0002773,0.0002773
75,6093.1,1.06481,0.64311,1.04682,0.92125,0.79127,0.91481,0.71376,0.85237,0.62471,0.97022,0.0002674,0.0002674,0.0002674
76,6160.21,1.11069,0.66496,1.06032,0.92092,0.79317,0.90958,0.71433,0.82665,0.61341,0.96765,0.0002575,0.0002575,0.0002575
77,6227.5,1.06669,0.63902,1.05566,0.93715,0.77989,0.9092,0.71421,0.83054,0.60991,0.96997,0.0002476,0.0002476,0.0002476
78,6313.45,1.1137,0.66976,1.07506,0.93069,0.78987,0.91191,0.72931,0.78969,0.59772,0.96713,0.0002377,0.0002377,0.0002377
79,6381.75,1.07217,0.64253,1.04886,0.94553,0.77609,0.9127,0.70494,0.87424,0.62556,0.97564,0.0002278,0.0002278,0.0002278
80,6449.41,1.02343,0.6215,1.02896,0.9329,0.78558,0.91189,0.69671,0.92143,0.63448,0.98298,0.0002179,0.0002179,0.0002179
81,6521.17,1.13248,0.66772,1.05522,0.9157,0.78937,0.91726,0.70451,0.88944,0.6273,0.98397,0.000208,0.000208,0.000208
82,6612.24,1.05373,0.61953,1.04337,0.93046,0.78704,0.92456,0.72715,0.82379,0.59489,0.97559,0.0001981,0.0001981,0.0001981
83,6678.67,1.08229,0.65257,1.06705,0.93954,0.79616,0.92574,0.71911,0.86019,0.59046,0.97977,0.0001882,0.0001882,0.0001882
84,6746.92,1.09757,0.64706,1.04728,0.94579,0.79507,0.92442,0.72365,0.84841,0.58768,0.98135,0.0001783,0.0001783,0.0001783
85,6816.34,1.05867,0.63916,1.03738,0.93488,0.78998,0.92272,0.72929,0.81973,0.5968,0.97987,0.0001684,0.0001684,0.0001684
86,6905.14,1.13723,0.68533,1.0625,0.92429,0.78761,0.91755,0.72914,0.81728,0.63142,0.97778,0.0001585,0.0001585,0.0001585
87,6973.11,1.07427,0.63743,1.04327,0.93468,0.78742,0.91575,0.70366,0.90112,0.65897,0.98515,0.0001486,0.0001486,0.0001486
88,7041.86,1.0793,0.63307,1.0409,0.94731,0.78368,0.91562,0.70028,0.90952,0.63327,0.98621,0.0001387,0.0001387,0.0001387
89,7109.95,1.07177,0.6319,1.02959,0.94159,0.79529,0.91565,0.71089,0.86722,0.61172,0.9837,0.0001288,0.0001288,0.0001288
90,7197.67,1.05974,0.63398,1.03015,0.93524,0.79696,0.91557,0.72631,0.81051,0.5953,0.97884,0.0001189,0.0001189,0.0001189
91,7264.47,1.06971,0.70392,1.0557,0.93192,0.80645,0.92001,0.72742,0.80735,0.59387,0.97595,0.000109,0.000109,0.000109
92,7327.16,0.99503,0.64279,1.0215,0.94832,0.81404,0.92741,0.72024,0.84315,0.59348,0.98268,9.91e-05,9.91e-05,9.91e-05
93,7390.66,1.00777,0.62831,1.01582,0.95336,0.80835,0.92521,0.7189,0.83965,0.5949,0.98589,8.92e-05,8.92e-05,8.92e-05
94,7459.73,0.99859,0.63063,1.02139,0.95121,0.81393,0.9245,0.72363,0.82758,0.59145,0.9789,7.93e-05,7.93e-05,7.93e-05
95,7965.99,1.00132,0.61435,1.01537,0.95133,0.80076,0.922,0.72555,0.81928,0.6063,0.9733,6.94e-05,6.94e-05,6.94e-05
96,8029.99,0.9944,0.61299,1.01964,0.96129,0.79317,0.91798,0.72383,0.81934,0.62642,0.97306,5.95e-05,5.95e-05,5.95e-05
97,8093.57,1.03138,0.63286,1.01459,0.95846,0.78748,0.91802,0.72419,0.81788,0.63364,0.97209,4.96e-05,4.96e-05,4.96e-05
98,8172.02,1.01626,0.61946,1.02721,0.95206,0.79128,0.91597,0.72546,0.81361,0.63804,0.97266,3.97e-05,3.97e-05,3.97e-05
99,8229.42,1.02028,0.62101,1.04353,0.94487,0.79317,0.91614,0.72525,0.80844,0.63612,0.97235,2.98e-05,2.98e-05,2.98e-05
100,8273.52,1.00931,0.60933,1.03139,0.94056,0.79507,0.91636,0.72757,0.80133,0.63208,0.97044,1.99e-05,1.99e-05,1.99e-05
