N,C,NCr,Np,Cp,NCp,MinA,MinAr,MaxA,MaxAr,Nar,Car,NCar,NExt,CExt,NCExt,NSol,CSol,NCs,EqN,EqC,NCEq,OrN,OrC,NCOr,class
6351,17492,0.36308026526412074,410.39191591739655,1065.9970358610153,0.38498410606359645,61.33052062988281,0.6007523908576268,145.52662986546483,0.5217583651987607,0.4444444444444444,0.47265625,0.9403122130394858,0.6891276041666666,0.5646952479338843,1.220353113804406,0.9477689897030294,0.7957057726424964,1.1911048308164702,89.92410326832855,149.2364101568631,0.6025614203250327,-0.2393611603656981,0.040196092032568416,-5.9548366087867075,HSIL
5550,12251,0.4530242429189454,348.2325357198715,492.1147848367691,0.7076246161459622,59.38582229614258,0.7153819529298212,121.91800523302537,0.5899749472362614,1.0618556701030928,1.0547945205479452,1.0066943365912437,0.5554999499549594,0.5448763565201922,1.0194972553087345,0.9544282029234737,0.9977196840133561,0.9566095750303922,84.06235467365968,124.89378552414239,0.6730707562499989,14.904082669897218,35.62926042183258,0.41831018925008123,HSIL
978,3125,0.31296,162.56854140758514,287.3380934000015,0.5657744139802393,17.233762741088867,0.5216700105367994,68.65857557508748,0.5539684670004523,2.5185185185185186,2.951219512195122,0.8533823079277625,0.5326797385620915,0.6299133239266277,0.8456397385620915,0.9569471624266145,0.9964923469387755,0.9603156164383562,35.28779214899948,63.078313050504,0.5594282795855069,-0.4392439140722217,-0.4589383091209166,0.9570870536250962,HSIL
864,2465,0.3505070993914807,152.75230729579926,236.00713968276978,0.6472359586287181,16.963254928588867,0.517227700361644,65.19202405202648,0.6631221517197241,1.3658536585365855,1.0,1.3658536585365855,0.37630662020905925,0.47550154320987653,0.7913888515877335,0.9452954048140044,0.9983799108950993,0.9468293527325666,33.16743834924821,56.02263362045894,0.5920364003939966,-2.85607934128224,-7.1537586087611835,0.3992417828838129,HSIL
13099,44180,0.2964916251697601,697.5117535591125,960.9503530263901,0.7258561811881213,108.33074951171875,0.5827860212404894,197.29419656948858,0.5705266776285358,1.2714285714285714,0.968503937007874,1.3127758420441347,0.5256420545746389,0.7070610076179502,0.7434182466736472,0.8696720223077945,0.992597086015345,0.8761581456973467,129.14396926099917,237.17445706989506,0.5445104454184144,-2.9432976527358847,4.890624788215354,-0.6018244662375598,HSIL
12626,39313,0.3211660265052273,714.4823151826859,886.5239461660385,0.8059368483757452,109.6015396118164,0.5989155170044612,195.88006534611938,0.6713380632757242,0.7134831460674157,0.71875,0.9926722032242306,0.558524285587897,0.8346000339673914,0.6692119133195711,0.8489779451317913,0.9759203634287417,0.8699254334124576,126.79086123150266,223.72944871467737,0.5667151193547136,1.4082095819430813,0.2908758948262957,4.8412728830074805,HSIL
22140,52064,0.4252458512599877,763.5950130224228,2014.9230033159256,0.37896982255192235,176.4447021484375,0.7201824577487245,206.24742422634034,0.632372287599488,1.0919540229885059,1.0406504065040652,1.0492995689655171,0.6696914700544465,0.8267276422764228,0.810050899242256,0.9010072235222302,0.9426590139595517,0.9558145736469786,167.89736007584068,257.4683352513305,0.6521087725678806,-2.1722673914076283,-2.112942916354141,1.0280767050516684,HSIL
19332,42899,0.45063987505536257,565.0853482484818,870.6660825014114,0.6490264862793317,147.0706787109375,0.6859437952216915,180.60177186284747,0.6684508822002745,1.024390243902439,1.0635593220338984,0.9631717034301817,0.7016550522648084,0.7242048754135998,0.968862646587524,0.959761697902445,0.97358327848762,0.9858033915633333,156.88934596976355,233.71072553392526,0.6712971585336576,11.395689715349643,1.9428769683642464,5.865368677947704,HSIL
15526,47576,0.3263410122750967,600.1391693353653,1249.0996264219284,0.48045740839301687,107.61182403564453,0.4287323666758746,195.8979326077741,0.5795035996465038,1.1633986928104576,0.9960474308300395,1.1680153542898641,0.5700962032753176,0.746219963611268,0.7639787610564391,0.9267870467094463,1.055262895230068,0.8782522828184806,140.59984769393648,246.12119896571303,0.57126264736555,6.682022905514624,-9.583495446564454,-0.69724276938119,HSIL
6747,30565,0.22074267953541632,637.896530508995,757.3107434511185,0.8423180788404712,77.57245635986328,0.5780424444526311,181.72781845386248,0.59574886608827,1.434782608695652,1.3264248704663213,1.0816915760869565,0.3555731225296443,0.6186245142487047,0.5747802008161186,0.6182534591771282,0.9915331213910336,0.6235328360083151,92.68520490524982,197.27282297577193,0.4698326079950352,-1.2022413965506644,-1.816257673694542,0.66193327850069,HSIL
12970,46488,0.27899673033901223,505.2863585948944,1140.9087220430374,0.44288061685607305,92.91177368164062,0.36869751460968503,202.41047403728888,0.6000963864134579,0.8867924528301887,1.007905138339921,0.8798372179060304,0.5785271421562068,0.7205766100906766,0.80286694579693,0.9799403120395905,0.9389333791139433,1.043673953698765,128.50648580991958,243.29069023628554,0.5282014107696157,-6.892172106420889,72.36409990581437,-0.09524297428409127,HSIL
11783,32742,0.3598741677356301,456.6173120737076,1154.5828216075897,0.39548250981071587,90.56449127197266,0.5419054890255007,176.08236708995025,0.5829583264465186,0.5314285714285715,0.6796875,0.7818719211822661,0.7239938556067589,0.7350484913793104,0.9849606714356932,0.9815077051228654,0.9018219877983281,1.0883608055721494,122.4850258424042,204.17739633396909,0.5998951306150352,0.22676152258315707,0.5992398970126194,0.37841526192369285,HSIL
18534,52806,0.3509828428587661,550.658941745758,1755.1585026979446,0.31373744359800654,140.22642517089844,0.5499076155009689,170.41420128616042,0.4744098561648915,0.9192546583850931,1.0,0.9192546583850931,0.7778244082591909,0.805755615234375,0.9653353865029416,0.972530499803227,0.8791256357537063,1.1062474579864132,153.6171270468287,259.29652407867906,0.5924380498067002,-1.0523136616970774,0.12750559805883058,-8.253078121413493,HSIL
19135,56300,0.33987566607460035,545.085347533226,1512.6488370895386,0.36035154635230165,144.79132080078125,0.570044638571508,170.84788555905513,0.4775007843090558,0.9064327485380117,0.99609375,0.9099873867675725,0.7219392567440106,0.8624387254901961,0.837090491656288,0.981861097570362,0.8779247916293068,1.1183886215904255,156.08791973918846,267.7375326109316,0.582988564274292,-0.24741068719734027,1.0149642188844368,-0.24376296483562077,HSIL
13898,53229,0.26109827349752956,502.8427059650421,2095.5403139591217,0.23995849787066,101.07027435302734,0.39635401707069545,181.57092278225608,0.5496473929588709,0.8650306748466258,1.0,0.8650306748466258,0.6047078275246922,0.8122100830078125,0.7445214485460601,0.9782157311279254,0.8840411220541097,1.1065274077465952,133.02437067217906,260.3329939264479,0.5109777622338664,-3.479356136491173,-0.4550039489414733,7.646870196589699,HSIL
5820,29238,0.19905602298378822,366.5756812095642,877.5605225563049,0.41772125316410236,62.21907043457031,0.4187506867772151,138.13037319865606,0.4714319751179989,0.8620689655172413,0.9253112033195021,0.9316530075769289,0.5017241379310344,0.5440336415905327,0.922229986484287,0.9205219454329775,0.889017270737047,1.0354376407893755,86.0828330758151,192.94293925657576,0.4461569488238284,7.467377342029008,-9.233379512985577,-0.8087371835552831,HSIL
19708,45332,0.43474808082590666,582.6833270788193,1272.974738240242,0.4577336136963092,124.56180572509766,0.5084155335718271,206.70026608594387,0.6243325055260509,1.1481481481481481,1.0406504065040652,1.103298611111111,0.6540554891809373,0.7198297764227642,0.9086252203004214,0.9676674931873419,0.9061597353402696,1.0678773900983094,158.4077174497524,240.24673783827825,0.6593542908223975,3.3476834579088206,17.835578521267795,0.18769693699124593,HSIL
18771,37397,0.5019386581811375,551.6122586727142,764.6660826206207,0.7213766521227928,124.87590789794922,0.7441251441629421,204.00490190189058,0.7242326234708382,1.3724137931034484,1.2367149758454106,1.1097252155172415,0.6505285045919251,0.7057102958937198,0.9218067362444928,0.9875055896046505,0.9953687684650395,0.9921002355011451,154.59618201696878,218.20939313984832,0.7084762933091957,0.9056823340717015,1.3748051846680596,0.6587713984293523,HSIL
16807,46666,0.36015514507350105,703.0092271566391,1966.8468815088272,0.3574295659544884,118.44413757324219,0.46448686960100594,207.32824216685964,0.5794593121251903,1.0532544378698225,1.0,1.0532544378698225,0.5587062030450103,0.712066650390625,0.7846262744344447,0.8676147949306972,0.8799260851529208,0.9860087222893453,146.28512237532524,243.75601858130827,0.600129273634857,-7.597350145533959,11.537132018547155,-0.6585128897996849,HSIL
16445,37542,0.43804272548079487,673.2274835109711,846.6244518756866,0.7951902192518104,115.6141586303711,0.7029039158915006,206.66155907667007,0.652500865441932,0.8,0.8828125,0.9061946902654868,0.5694252077562327,0.6488868915929203,0.877541548664019,0.8677413397356409,0.9617399546566587,0.9022619217742958,144.70115518947924,218.63201729949682,0.6618479625116291,-2.577300994700687,-2.3265421828139137,1.1077817603046787,HSIL
17733,47628,0.3723230032753842,565.6711349487305,1205.3178820610046,0.46931282059922197,151.31918334960938,0.6201605874983991,170.84788555905513,0.5475640646889897,0.9005847953216374,1.0326530612244897,0.8721078057462497,0.6733880154932786,0.7683794466403162,0.8763743205751003,0.9370888049250932,0.9731817206608024,0.9629124602636374,150.2609624845676,246.25566599907165,0.6101827621912832,0.431767963465477,9.389609913557312,0.0459835890351593,HSIL
16287,44433,0.36655188711093106,598.9432126283646,867.9209145307541,0.6900896183060484,148.6310577392578,0.6804684227571759,159.53056133543816,0.6211930895848211,1.02,1.074235807860262,0.9495121951219512,0.709673202614379,0.788742145063372,0.8997531158390932,0.921523141337558,0.9846102708991191,0.935926801267316,144.0043487714923,237.85258605114532,0.6054352873023928,0.2430637256626059,-0.42593157046031904,-0.5706637932471605,HSIL
19932,57848,0.3445581523993915,644.0975399017334,1562.0214200019836,0.412348724322177,151.81834411621094,0.5977100880191939,171.81676286090365,0.4783143959856017,0.9585798816568047,0.99609375,0.9623390184476157,0.7280298049528818,0.8861519607843137,0.8215631597864079,0.9735036264621847,0.8941994821656297,1.088687307338281,159.30540042842637,271.393369822919,0.5869907600630453,-0.23023541823207916,0.33037496498173796,-0.6968912376420707,HSIL
19394,53625,0.36165967365967366,552.6416970491409,1724.5899617671967,0.3204481698843046,158.51637268066406,0.6240802074041892,172.41809649801846,0.489595009845421,0.930635838150289,0.99609375,0.9342853904567607,0.696298423868165,0.8214613970588235,0.847633773615176,0.9319557904853436,0.8353519382501616,1.1156444940291168,157.14072588159235,261.29958014972607,0.6013814709979628,-0.5080961808867305,17.261960714075244,-0.029434441967674828,HSIL
15917,52608,0.3025585462287105,547.1442235708237,1781.5504190921783,0.3071168897087016,142.1646270751953,0.5709422774104229,162.68988905276197,0.5125673844407894,1.02,1.008,1.0119047619047619,0.6935511982570806,0.835047619047619,0.8305528720003816,0.9149278611254814,0.9479089713328168,0.9652064584208313,142.35924217819363,258.8099417901628,0.550053221269279,2.2699392376072987,0.04997999701044756,45.41695424937305,HSIL
14153,42999,0.32914718946952254,530.4995614290237,845.2518682479858,0.6276230569340571,140.37071228027344,0.603646709648107,157.31814898478814,0.5978567846401687,0.930379746835443,0.907258064516129,1.0254852320675105,0.609360199776113,0.7705913978494624,0.79076953295442,0.8584859881111246,0.9712130281093656,0.883931705263794,134.239186814569,233.98296344834012,0.57371350818115,0.44074059673783994,0.7517718398176146,0.5862690957468782,HSIL
14189,55967,0.2535243983061447,477.0020867586136,1995.2590091228485,0.23906775239587177,114.2127685546875,0.44965656911294294,166.37307474468338,0.4668357265916909,1.4224137931034482,0.99609375,1.4279918864097363,0.7413270637408569,0.8573376225490196,0.8646850951632773,0.9854840950131962,0.8665969883482367,1.1371884604532982,134.4098058187989,266.9445590383757,0.5035120637146092,-0.1063109671822051,21.951252408681626,-0.004843047913756373,HSIL
13817,49790,0.2775055231974292,487.24472987651825,1816.0357007980347,0.26830129477212616,114.4814224243164,0.4750266490635536,168.0773631397161,0.5559717942687853,1.2950819672131149,0.9453125,1.3700040644899065,0.7167980908902262,0.8036867252066116,0.8918874337584112,0.9690360136059193,0.9583385462279495,1.0111625139363072,132.63615943477006,251.78283685025824,0.5267879300035538,1.0300140743751363,-0.842212283836948,-1.222986287593196,HSIL
16994,54028,0.3145406085733323,591.9970346689224,1520.8914779424667,0.38924344258263827,115.75414276123047,0.46117188351087834,196.468827043885,0.57497927188676,1.1304347826086956,1.0119047619047619,1.1171355498721227,0.5799604122585489,0.840771864301276,0.68979521899264,0.9252211787123996,0.8822410372390369,1.0487170055111794,147.09667849149196,262.279595323295,0.5608392002823378,3.8674790880869634,10.2676750160008,0.37666551405844206,HSIL
16011,36053,0.4440961917177489,620.215290427208,749.7300090789795,0.8272515211030749,115.31465911865234,0.6905069408302535,194.87944991712183,0.740563712201688,0.6082474226804123,0.65625,0.9268532155130093,0.6994146426699284,0.8382859002976191,0.8343390273194541,0.8898460512421498,0.999722707484125,0.8900928673326949,142.77898427553927,214.252433606568,0.6664054259366057,0.2647700264985307,-0.04041934974367558,-6.550576102228347,HSIL
14256,46331,0.3076989488679286,572.1564154624939,1428.5382274389267,0.4005187991981509,111.80164337158203,0.44190372874143097,184.19554826325202,0.6320755960522791,0.8987341772151899,1.0039370078740157,0.8952097294614049,0.6354073809948297,0.7153157325922495,0.8882893973157309,0.9265566099051086,0.8745410787598509,1.0594775161608403,134.726771466344,242.87952022993792,0.5547061824677354,2.7275600442623684,2.543113929868954,1.0725276646976327,HSIL
14141,43246,0.32698977940156315,511.48736810684204,1572.052945971489,0.32536268540927277,111.0705337524414,0.5123392279421985,175.72706109191037,0.5882293619709252,1.0704225352112675,1.1743119266055047,0.9115316901408449,0.6551612305411416,0.7749068233944955,0.84547097891227,0.9642029183144688,0.9029429266408461,1.067844810415121,134.18226560205315,234.65403757791353,0.5718302015472453,4.338781125350343,0.3353743129269381,12.937130120324852,HSIL
12819,44212,0.2899439066316837,438.90158331394196,1034.1046806573868,0.4244266480207105,116.67262268066406,0.6254832587416855,146.18481453283715,0.4535681619280095,0.9357142857142857,1.0039370078740157,0.9320448179271709,0.6989640130861505,0.6825999691215069,1.0239731097346867,0.989540314176541,0.992212572095424,0.9973067687368247,127.75624338544105,237.2603353951752,0.5384643968097461,3.159384815531019,-14.846871583582482,-0.21279801591499142,HSIL
12463,43771,0.2847319001165155,432.190905213356,1078.215290904045,0.4008391541646375,113.0,0.46311481202107563,143.39107364128355,0.4104130881277749,1.219298245614035,1.0448979591836736,1.166906524122807,0.786507635996466,0.6978794642857142,1.1269963886979588,0.9907389005922334,0.784686679275387,1.2625917155967572,125.96977592277575,236.07407335961906,0.5336027549746305,-0.6033123828625737,-0.1549780440695989,3.8928893862645015,HSIL
16913,55678,0.30376450303531016,559.470125079155,1301.5016481876373,0.42986509149506374,127.62970733642578,0.5105188916649037,171.2337583538947,0.4892133520117138,1.0060975609756098,0.9920948616600791,1.0141142746088816,0.6250184774575018,0.8767774750799174,0.7128587300905876,0.9300778135225054,0.9681110029211295,0.9607140201032065,146.74569983514272,266.2544485483095,0.5511483493899897,5.135935058009412,-87.43372929534712,-0.058740889807644595,HSIL
14275,43558,0.3277239542678727,476.9604580402374,797.4528772830963,0.598104880711235,134.0,0.6291079812206573,163.52675622050356,0.6365656162025729,0.9440559440559441,1.1728971962616823,0.8048923188365419,0.7394457394457394,0.8109245261942882,0.9118551918955978,0.969637277543812,0.996887444500389,0.9726647505624529,134.8165216176951,235.4989768333914,0.5724717934255562,-5.028501462346167,0.05588740928493855,-89.97556921468052,HSIL
