epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1446,1.30475,2.83207,1.1298,0.05716,0.53243,0.1982,0.12842,1.23374,3.10521,1.08962,0.0003334,0.0003334,0.0003334
2,106.434,1.27213,1.22745,1.10223,0.91717,0.28058,0.3375,0.2469,1.32239,1.7717,1.14057,0.000669937,0.000669937,0.000669937
3,191.326,1.22729,1.06162,1.07546,0.92791,0.32063,0.40328,0.28874,1.30473,1.52198,1.15687,0.000992612,0.000992612,0.000992612
4,306.854,1.09529,0.9847,1.05842,0.89496,0.29437,0.37522,0.25565,1.31431,1.47451,1.17794,0.00130142,0.00130142,0.00130142
5,427.932,1.10295,0.92994,1.0526,0.91176,0.35897,0.4335,0.30262,1.24039,1.0992,1.13895,0.00153497,0.00153497,0.00153497
6,501.351,1.03271,0.85965,1.032,0.9278,0.36235,0.41094,0.29543,1.19331,0.98884,1.07971,0.00150197,0.00150197,0.00150197
7,552.014,1.06466,0.87108,1.01924,0.9353,0.36717,0.44466,0.3172,1.16382,0.91423,1.056,0.00146896,0.00146896,0.00146896
8,606.519,1.04207,0.83585,1.02741,0.94658,0.37622,0.47064,0.32892,1.13372,0.86464,1.08259,0.00143595,0.00143595,0.00143595
9,661.381,1.04132,0.83172,1.02441,0.81766,0.42019,0.46499,0.32321,1.08888,0.96236,1.03728,0.00140295,0.00140295,0.00140295
10,714.915,0.96065,0.79431,0.99664,0.84082,0.45075,0.51565,0.36252,1.06192,0.85852,1.04695,0.00136994,0.00136994,0.00136994
11,768.826,0.92785,0.75956,0.98246,0.65258,0.43549,0.47774,0.3399,1.09611,0.85463,1.05654,0.00133693,0.00133693,0.00133693
12,822.373,0.97977,0.77825,0.98414,0.56148,0.47102,0.48887,0.35224,1.05868,0.86892,1.02015,0.00130393,0.00130393,0.00130393
13,874.317,1.03439,0.7933,1.00734,0.62807,0.44196,0.50865,0.36528,1.0688,0.83842,1.01827,0.00127092,0.00127092,0.00127092
