epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2349.07,1.18469,0.84963,1.11053,0.63607,0.74261,0.73515,0.41527,1.36598,1.02971,1.20209,0.0005941,0.0005941,0.0005941
43,2400.68,1.2156,0.89353,1.13496,0.68985,0.79843,0.75745,0.46808,1.38382,1.01554,1.2106,0.0005842,0.0005842,0.0005842
44,2456.51,1.2794,0.87122,1.15229,0.55751,0.84925,0.69686,0.44389,1.33054,1.10692,1.18743,0.0005743,0.0005743,0.0005743
45,2511.09,1.21648,0.85161,1.11833,0.6903,0.6178,0.69547,0.4513,1.40093,1.01274,1.20319,0.0005644,0.0005644,0.0005644
46,2566.6,1.22781,0.84792,1.12473,0.57147,0.64792,0.54214,0.35299,1.28935,1.02766,1.16874,0.0005545,0.0005545,0.0005545
47,2621.54,1.21446,0.86519,1.12014,0.62385,0.54478,0.5544,0.35611,1.26975,0.99167,1.1721,0.0005446,0.0005446,0.0005446
48,2676,1.23127,0.855,1.12817,0.54097,0.69776,0.62453,0.36043,1.34589,0.97552,1.20048,0.0005347,0.0005347,0.0005347
49,2729.79,1.23505,0.85539,1.13535,0.62014,0.81984,0.71988,0.41577,1.39014,0.93992,1.19529,0.0005248,0.0005248,0.0005248
50,2784.13,1.28949,0.88252,1.15366,0.7628,0.65272,0.84004,0.47519,1.38376,0.93643,1.19704,0.0005149,0.0005149,0.0005149
51,2839.82,1.20944,0.81718,1.13588,0.7149,0.71108,0.72063,0.43679,1.3535,0.9875,1.19244,0.000505,0.000505,0.000505
52,2892.67,1.26909,0.84304,1.12661,0.54983,0.79104,0.64828,0.41916,1.2769,0.97917,1.16697,0.0004951,0.0004951,0.0004951
53,2950.34,1.18618,0.83173,1.12039,0.61952,0.57015,0.59753,0.38201,1.24663,0.91998,1.17884,0.0004852,0.0004852,0.0004852
54,3006.32,1.25392,0.85621,1.14147,0.49771,0.61174,0.52395,0.35421,1.29145,0.95932,1.18443,0.0004753,0.0004753,0.0004753
55,3061.79,1.18904,0.78848,1.10614,0.56326,0.69254,0.62856,0.36558,1.41055,1.03609,1.20633,0.0004654,0.0004654,0.0004654
56,3112.88,1.24086,0.82078,1.11815,0.65195,0.63227,0.70378,0.4264,1.31919,0.99689,1.194,0.0004555,0.0004555,0.0004555
57,3165.56,1.21202,0.80505,1.12087,0.50269,0.7682,0.65625,0.4168,1.29324,0.99067,1.17266,0.0004456,0.0004456,0.0004456
58,3216.67,1.27211,0.85136,1.11662,0.52859,0.76269,0.6266,0.3481,1.38604,0.9511,1.18106,0.0004357,0.0004357,0.0004357
59,3270.65,1.20277,0.80877,1.11436,0.60099,0.7508,0.65744,0.37505,1.29247,0.9258,1.17717,0.0004258,0.0004258,0.0004258
60,3321.39,1.20265,0.78677,1.10595,0.50798,0.68657,0.60529,0.36963,1.26302,0.9576,1.16301,0.0004159,0.0004159,0.0004159
61,3374.84,1.1888,0.79228,1.11132,0.6182,0.51503,0.64581,0.37545,1.35808,0.94753,1.18287,0.000406,0.000406,0.000406
62,3432.86,1.21348,0.77418,1.10045,0.6506,0.64399,0.64914,0.38912,1.24499,0.92687,1.16862,0.0003961,0.0003961,0.0003961
63,3486.27,1.27136,0.83142,1.15036,0.53878,0.7,0.62681,0.37729,1.2247,0.95246,1.16425,0.0003862,0.0003862,0.0003862
64,3538.26,1.22351,0.78874,1.10734,0.62448,0.63735,0.60229,0.35816,1.38054,0.93831,1.19764,0.0003763,0.0003763,0.0003763
65,3590.39,1.23222,0.81169,1.12748,0.61192,0.62754,0.64958,0.39607,1.29447,0.93679,1.17373,0.0003664,0.0003664,0.0003664
66,3645.05,1.17176,0.7778,1.11221,0.81846,0.5932,0.71103,0.44077,1.25273,0.90605,1.1732,0.0003565,0.0003565,0.0003565
67,3699.71,1.11669,0.74521,1.08811,0.80114,0.62836,0.71002,0.42747,1.32676,0.91023,1.19466,0.0003466,0.0003466,0.0003466
68,3753.97,1.19027,0.76721,1.09546,0.72266,0.59923,0.71219,0.45483,1.28019,0.97487,1.15846,0.0003367,0.0003367,0.0003367
69,3806.1,1.21264,0.81367,1.11463,0.69888,0.6113,0.72655,0.45622,1.29793,0.95008,1.16105,0.0003268,0.0003268,0.0003268
70,3861.71,1.22301,0.78103,1.09477,0.88805,0.55375,0.80598,0.50228,1.32039,0.88593,1.18478,0.0003169,0.0003169,0.0003169
71,3917.13,1.11897,0.75008,1.08753,0.79451,0.56411,0.78101,0.4833,1.2523,0.91816,1.17017,0.000307,0.000307,0.000307
72,3972.18,1.22845,0.81542,1.12741,0.83167,0.46009,0.6891,0.42492,1.31003,0.96825,1.17429,0.0002971,0.0002971,0.0002971
