epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2577,1.42213,2.54975,1.21086,0.01267,0.17015,0.10223,0.05063,1.58674,2.81871,1.44788,0.0901,0.0001,0.0001
2,112.758,1.35861,1.5392,1.1764,0.33627,0.18806,0.2166,0.11228,1.405,2.40392,1.20386,0.0792079,0.000207921,0.000207921
3,163.82,1.3536,1.32933,1.16202,0.4927,0.10078,0.26395,0.17324,1.22534,2.39674,1.18536,0.0683137,0.000313664,0.000313664
4,212.461,1.28013,1.16853,1.14586,0.49444,0.06641,0.27469,0.1772,1.20826,2.49237,1.20785,0.0574172,0.000417229,0.000417229
5,266.684,1.30647,1.08928,1.19427,0.97571,0.16075,0.29857,0.20655,1.17881,2.09766,1.17157,0.0465186,0.000518616,0.000518616
6,321.007,1.23951,1.0343,1.15918,0.88006,0.56104,0.69862,0.38508,1.08023,1.65314,1.10336,0.0356178,0.000617825,0.000617825
7,375.963,1.22356,1.01837,1.13215,0.62374,0.48847,0.55052,0.34061,0.9753,1.01579,1.02846,0.0247149,0.000714856,0.000714856
8,430.796,1.26028,0.97705,1.14069,0.76793,0.72992,0.72381,0.43803,0.80732,0.73405,0.95912,0.0138097,0.000809709,0.000809709
9,485.847,1.24992,0.93283,1.11125,0.80285,0.63598,0.67128,0.3957,0.90934,0.78315,1.0005,0.00290238,0.000902384,0.000902384
10,542.065,1.21095,0.89878,1.11191,0.67253,0.56045,0.61355,0.38834,0.88001,0.78314,1.02433,0.0009109,0.0009109,0.0009109
11,599.174,1.30651,0.95075,1.13568,0.7133,0.53227,0.59974,0.37077,1.01987,0.86361,1.02251,0.000901,0.000901,0.000901
12,654.072,1.20146,0.91591,1.09409,0.60664,0.59996,0.51054,0.31668,0.93112,0.93701,1.02643,0.0008911,0.0008911,0.0008911
13,709.376,1.18303,0.88028,1.10435,0.49171,0.67164,0.56013,0.38178,0.84567,0.82745,0.99212,0.0008812,0.0008812,0.0008812
14,764.862,1.18739,0.86199,1.09765,0.62946,0.54769,0.60174,0.38257,0.95627,0.87628,1.07161,0.0008713,0.0008713,0.0008713
15,822.099,1.21909,0.86119,1.07817,0.53876,0.4806,0.55018,0.36673,0.90039,0.82146,1.00437,0.0008614,0.0008614,0.0008614
16,878.749,1.22951,0.87672,1.08619,0.48023,0.40306,0.53182,0.32759,0.9331,0.83079,1.03458,0.0008515,0.0008515,0.0008515
17,934.714,1.20002,0.83857,1.0863,0.49175,0.42835,0.55111,0.35486,0.91979,0.7695,1.0196,0.0008416,0.0008416,0.0008416
18,989.666,1.16566,0.84271,1.09253,0.43361,0.773,0.55479,0.36068,0.86311,0.84896,1.02899,0.0008317,0.0008317,0.0008317
19,1044.98,1.21407,0.88474,1.11294,0.50739,0.82687,0.52014,0.32986,0.90944,0.78253,0.99586,0.0008218,0.0008218,0.0008218
20,1101.54,1.19119,0.84755,1.07908,0.54007,0.71045,0.66799,0.4228,0.81394,0.77069,1.00305,0.0008119,0.0008119,0.0008119
21,1158.52,1.15248,0.81149,1.07716,0.58521,0.67985,0.62275,0.43107,0.77247,0.65271,0.9662,0.000802,0.000802,0.000802
22,1214.63,1.20666,0.82481,1.09454,0.72249,0.48176,0.62817,0.43365,0.85219,0.68662,0.98477,0.0007921,0.0007921,0.0007921
23,1269.95,1.06957,0.7593,1.06753,0.67484,0.73763,0.76019,0.44066,0.83428,0.6567,0.97251,0.0007822,0.0007822,0.0007822
24,1325.15,1.16966,0.80689,1.09063,0.79337,0.63417,0.6963,0.48019,0.90249,0.69957,1.00001,0.0007723,0.0007723,0.0007723
25,1380.48,1.1418,0.78681,1.06353,0.50957,0.6018,0.59248,0.40675,0.9223,0.69429,0.99637,0.0007624,0.0007624,0.0007624
26,1436.44,1.09336,0.7667,1.05395,0.63327,0.65014,0.67606,0.4591,0.72301,0.6027,0.94764,0.0007525,0.0007525,0.0007525
27,1492.73,1.14415,0.79165,1.09334,0.65048,0.84627,0.81288,0.4774,0.85243,0.63743,0.97006,0.0007426,0.0007426,0.0007426
28,1547.82,1.16439,0.82674,1.10494,0.68962,0.54478,0.68836,0.40839,0.73534,0.60459,0.94582,0.0007327,0.0007327,0.0007327
29,1604.46,1.16858,0.78792,1.07909,0.54728,0.59179,0.58447,0.36089,0.73907,0.66023,0.94868,0.0007228,0.0007228,0.0007228
30,1659.74,1.09522,0.75069,1.05966,0.72998,0.66566,0.70141,0.40055,0.97571,0.73244,1.02742,0.0007129,0.0007129,0.0007129
31,1715.19,1.11326,0.75399,1.0741,0.54226,0.77987,0.63857,0.38512,0.78779,0.60901,0.96523,0.000703,0.000703,0.000703
32,1771.82,1.10603,0.7439,1.06246,0.62106,0.61479,0.65642,0.40098,0.72997,0.57838,0.94841,0.0006931,0.0006931,0.0006931
33,1827.08,1.09024,0.7439,1.05749,0.65676,0.76119,0.70441,0.46841,0.76112,0.58393,0.96227,0.0006832,0.0006832,0.0006832
34,1883.21,1.0424,0.69991,1.03972,0.65535,0.68731,0.69251,0.47399,0.7437,0.57257,0.96544,0.0006733,0.0006733,0.0006733
35,1938.27,1.05914,0.72156,1.04969,0.68828,0.76567,0.71698,0.46366,0.70296,0.55373,0.95496,0.0006634,0.0006634,0.0006634
36,1993.48,1.13031,0.78067,1.08096,0.52924,0.80448,0.58226,0.38393,0.70882,0.54342,0.94434,0.0006535,0.0006535,0.0006535
37,2048.61,1.15704,0.76806,1.08108,0.58634,0.57612,0.56417,0.35047,0.81171,0.59649,0.96353,0.0006436,0.0006436,0.0006436
38,2104.83,1.10914,0.72206,1.0462,0.526,0.48483,0.50743,0.34863,0.73776,0.57044,0.95135,0.0006337,0.0006337,0.0006337
39,2161.26,1.05892,0.70688,1.05143,0.59462,0.55149,0.56636,0.39116,0.71204,0.57058,0.93703,0.0006238,0.0006238,0.0006238
40,2216.46,1.08103,0.716,1.04552,0.71734,0.62531,0.7328,0.50036,0.71831,0.59145,0.94412,0.0006139,0.0006139,0.0006139
41,2272.36,1.06908,0.69671,1.04649,0.76559,0.52687,0.7124,0.47683,0.80556,0.75286,0.98251,0.000604,0.000604,0.000604
42,2328.67,1.0318,0.68773,1.03078,0.73281,0.48507,0.66733,0.44708,0.85546,0.72848,0.99245,0.0005941,0.0005941,0.0005941
43,2388.94,1.12764,0.70009,1.05565,0.49856,0.82628,0.64489,0.44952,0.76152,0.55564,0.94391,0.0005842,0.0005842,0.0005842
44,2444.89,1.05115,0.68014,1.05189,0.64422,0.64318,0.68339,0.48196,0.71217,0.52812,0.93394,0.0005743,0.0005743,0.0005743
45,2499.73,1.04183,0.67826,1.03825,0.6745,0.75333,0.76199,0.51208,0.70984,0.52365,0.94332,0.0005644,0.0005644,0.0005644
46,2554.26,1.04495,0.68479,1.04471,0.69563,0.61431,0.6647,0.44679,0.69352,0.53769,0.93959,0.0005545,0.0005545,0.0005545
47,2608.07,1.02451,0.66068,1.03144,0.61478,0.53785,0.5502,0.40782,0.69832,0.53186,0.92987,0.0005446,0.0005446,0.0005446
48,2663.3,1.01475,0.65128,1.0177,0.71561,0.49697,0.61137,0.43004,0.67834,0.51784,0.93008,0.0005347,0.0005347,0.0005347
49,2718.05,1.04979,0.66924,1.03474,0.7041,0.49627,0.64376,0.46942,0.67431,0.51743,0.92809,0.0005248,0.0005248,0.0005248
50,2773.75,1.05509,0.68069,1.03451,0.60445,0.62036,0.64814,0.43728,0.72536,0.56022,0.94365,0.0005149,0.0005149,0.0005149
51,2828.45,1.00481,0.65449,1.02757,0.62702,0.74284,0.68371,0.46069,0.66329,0.52971,0.92935,0.000505,0.000505,0.000505
52,2882.92,1.02247,0.66296,1.02192,0.69997,0.74705,0.66682,0.4447,0.73199,0.55117,0.94956,0.0004951,0.0004951,0.0004951
53,2938.01,1.06556,0.68106,1.05237,0.61024,0.77985,0.63573,0.46091,0.73569,0.54875,0.9519,0.0004852,0.0004852,0.0004852
54,2998.58,1.06349,0.68823,1.03381,0.69399,0.75805,0.75848,0.51977,0.69301,0.52104,0.93901,0.0004753,0.0004753,0.0004753
55,3055.61,1.02287,0.66237,1.01961,0.76174,0.49309,0.66863,0.45343,0.90429,0.57013,0.97293,0.0004654,0.0004654,0.0004654
56,3110.48,1.0318,0.64855,1.02583,0.63725,0.64106,0.62223,0.40771,0.88767,0.60669,0.99491,0.0004555,0.0004555,0.0004555
57,3165.6,0.93717,0.6203,1.0041,0.76199,0.58133,0.71208,0.47927,0.8895,0.64389,1.00394,0.0004456,0.0004456,0.0004456
58,3221.15,1.08489,0.68888,1.04192,0.84558,0.52593,0.73437,0.46631,1.01018,0.72115,1.01663,0.0004357,0.0004357,0.0004357
59,3276.52,1.07458,0.67158,1.05444,0.97619,0.60041,0.76024,0.51653,0.68596,0.55833,0.93716,0.0004258,0.0004258,0.0004258
60,3331.68,1.08956,0.68977,1.03714,0.95246,0.58314,0.77156,0.56458,0.67085,0.51342,0.92976,0.0004159,0.0004159,0.0004159
61,3387.5,1.04573,0.65749,1.03109,0.7207,0.59214,0.72372,0.53258,0.66483,0.50879,0.9289,0.000406,0.000406,0.000406
62,3443.03,1.01036,0.6326,1.01954,0.66835,0.63715,0.66002,0.46987,0.65683,0.4929,0.93196,0.0003961,0.0003961,0.0003961
63,3498.95,0.90306,0.59862,1.00332,0.66431,0.67537,0.69088,0.47858,0.67188,0.51229,0.93368,0.0003862,0.0003862,0.0003862
64,3555.26,1.09287,0.66823,1.0331,0.88702,0.49328,0.70337,0.48036,0.69465,0.53693,0.93054,0.0003763,0.0003763,0.0003763
65,3611.28,0.98978,0.62224,1.01076,0.80992,0.49267,0.69327,0.48093,0.66362,0.53388,0.93037,0.0003664,0.0003664,0.0003664
66,3668.71,1.03496,0.6403,1.02835,0.52868,0.77996,0.69556,0.4882,0.66521,0.50658,0.93422,0.0003565,0.0003565,0.0003565
67,3724.64,0.99069,0.63817,1.01958,0.6602,0.52789,0.56635,0.40625,0.66854,0.49403,0.93011,0.0003466,0.0003466,0.0003466
68,3781.21,1.03098,0.64573,1.02972,0.60986,0.68433,0.57527,0.41092,0.68012,0.52125,0.93422,0.0003367,0.0003367,0.0003367
69,3836.28,1.02565,0.64176,1.03508,0.7473,0.55178,0.61428,0.44218,0.67891,0.51303,0.92791,0.0003268,0.0003268,0.0003268
70,3892.43,1.07174,0.64529,1.01595,0.77539,0.54899,0.62535,0.44288,0.64486,0.49032,0.92677,0.0003169,0.0003169,0.0003169
71,3948.25,0.98334,0.62046,1.00796,0.74507,0.65327,0.74949,0.50511,0.65568,0.48933,0.9338,0.000307,0.000307,0.000307
72,4003.5,1.03273,0.62941,1.0407,0.77893,0.63358,0.75116,0.52498,0.68028,0.49713,0.93429,0.0002971,0.0002971,0.0002971
73,4059.14,1.07345,0.65872,1.04197,0.80527,0.62463,0.80315,0.53217,0.65972,0.48092,0.93111,0.0002872,0.0002872,0.0002872
74,4114.45,0.97761,0.60905,1.00724,0.70981,0.66269,0.69098,0.4848,0.65979,0.47492,0.92995,0.0002773,0.0002773,0.0002773
75,4169.46,0.97624,0.60869,1.01088,0.68783,0.69701,0.70337,0.48227,0.66065,0.48598,0.93171,0.0002674,0.0002674,0.0002674
76,4225.27,1.03331,0.62759,1.01581,0.76326,0.69254,0.76209,0.48862,0.67125,0.48409,0.93056,0.0002575,0.0002575,0.0002575
77,4280.24,0.9518,0.59013,1.01509,0.76537,0.73162,0.79144,0.49753,0.6748,0.47262,0.93,0.0002476,0.0002476,0.0002476
78,4336.05,1.01602,0.65033,1.03225,0.9922,0.67538,0.84649,0.51996,0.65448,0.48315,0.93088,0.0002377,0.0002377,0.0002377
79,4391.65,0.94709,0.60256,1.00764,0.80902,0.70987,0.76052,0.452,0.66389,0.51148,0.93243,0.0002278,0.0002278,0.0002278
80,4448.29,1.01028,0.61883,1.00936,0.75609,0.77465,0.73632,0.44668,0.73402,0.53477,0.93224,0.0002179,0.0002179,0.0002179
