Model,Split,Best_Params,Accuracy,Precision,Recall,F1
NeuralNet,Test,"{'clf__activation': 'logistic', 'clf__alpha': 0.001, 'clf__batch_size': 32, 'clf__hidden_layer_sizes': (128, 64, 32), 'clf__learning_rate_init': 0.001, 'clf__max_iter': 300, 'clf__n_iter_no_change': 10}",0.8645833333333334,0.8619531809186981,0.8716651434042738,0.8572649572649572
LightGBM,Test,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.01, 'clf__max_depth': -1, 'clf__min_child_samples': 10, 'clf__n_estimators': 200, 'clf__num_leaves': 31, 'clf__subsample': 0.8}",0.8125,0.7944072301967039,0.7989511250380815,0.7951951951951952
XGBoost,Test,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.8020833333333334,0.7852537852537852,0.7896918657788223,0.7857236045102973
SVM,Test,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7604166666666666,0.7544437602627259,0.7531553292422858,0.7497905144963969
RandomForest,Test,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.7604166666666666,0.749021546574383,0.753405579492536,0.7465225406401877
