Model,Best_Params,Dataset,Accuracy,Precision,Recall,F1
SVM,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",Test,0.7291666666666666,0.7391304347826088,0.7086760673717195,0.7150839382374218
NeuralNet,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 16), 'learning_rate_init': 0.001, 'max_iter': 500}",Test,0.78125,0.7735791090629799,0.7823910867389129,0.771982617123384
RandomForest,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",Test,0.7916666666666666,0.7751527751527751,0.7806828567698133,0.7761997949864877
XGBoost,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",Test,0.8229166666666666,0.8084126984126985,0.8131936284110197,0.8101851851851851
LightGBM,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 0.8}",Test,0.8229166666666666,0.8084126984126985,0.8131936284110197,0.8101851851851851
